Date,Time,City,State,Country,AQI (US),Temperature (°C),Pressure (hPa),Humidity (%),Wind Speed (m/s)
08/01/2023,17:14:28,New York City,New York,USA,16,25,1019,42,6.26
08/01/2023,17:15:29,New York City,New York,USA,16,25,1019,42,6.26
08/01/2023,19:14:56,New York City,New York,USA,16,25,1020,45,6.26
08/01/2023,21:15:27,New York City,New York,USA,16,22,1021,51,4.02
08/01/2023,22:26:21,New York City,New York,USA,16,22,1021,52,4.02
08/01/2023,23:15:22,New York City,New York,USA,16,21,1022,51,4.47
08/02/2023,00:17:50,New York City,New York,USA,16,20,1022,51,4.12
08/02/2023,01:13:53,New York City,New York,USA,12,20,1022,52,4.47
08/02/2023,02:19:35,New York City,New York,USA,12,19,1022,54,3.6
08/02/2023,03:13:55,New York City,New York,USA,12,18,1021,59,2.68
08/02/2023,04:18:45,New York City,New York,USA,12,18,1022,60,4.63
08/02/2023,05:14:44,New York City,New York,USA,12,18,1022,59,3.6
08/02/2023,06:15:56,New York City,New York,USA,8,17,1022,62,3.58
08/02/2023,07:12:21,New York City,New York,USA,12,18,1023,64,4.02
08/02/2023,08:31:48,New York City,New York,USA,12,19,1024,58,3.6
08/02/2023,09:18:45,New York City,New York,USA,12,21,1024,51,4.47
08/02/2023,10:14:09,New York City,New York,USA,12,22,1024,44,4.92
08/02/2023,11:14:46,New York City,New York,USA,12,23,1024,42,5.14
08/02/2023,12:20:12,New York City,New York,USA,12,24,1023,40,4.63
08/02/2023,13:13:01,New York City,New York,USA,12,25,1023,39,3.13
08/02/2023,14:18:43,New York City,New York,USA,12,25,1023,39,1.54
08/02/2023,15:11:51,New York City,New York,USA,16,26,1022,39,5.66
08/02/2023,16:15:28,New York City,New York,USA,16,26,1021,41,4.92
08/02/2023,17:12:47,New York City,New York,USA,16,25,1021,43,3.6
08/02/2023,18:13:43,New York City,New York,USA,16,25,1022,44,4.63
08/02/2023,19:14:26,New York City,New York,USA,16,23,1021,51,6.71
08/02/2023,21:16:50,New York City,New York,USA,16,21,1022,58,4.92
08/02/2023,22:28:18,New York City,New York,USA,16,21,1022,59,4.92
08/02/2023,23:15:23,New York City,New York,USA,12,20,1022,61,5.14
08/03/2023,00:17:56,New York City,New York,USA,12,20,1023,62,4.12
08/03/2023,01:13:54,New York City,New York,USA,12,20,1022,63,4.12
08/03/2023,02:19:31,New York City,New York,USA,12,19,1021,64,3.6
08/03/2023,03:13:53,New York City,New York,USA,12,19,1021,64,3.6
08/03/2023,04:18:52,New York City,New York,USA,12,18,1020,65,3.09
08/03/2023,05:15:01,New York City,New York,USA,16,18,1021,67,3.6
08/03/2023,06:16:19,New York City,New York,USA,16,18,1021,69,3.6
08/03/2023,07:12:38,New York City,New York,USA,16,19,1021,67,3.6
08/03/2023,08:31:49,New York City,New York,USA,16,20,1021,62,4.12
08/03/2023,09:18:54,New York City,New York,USA,16,22,1021,59,5.14
